question,answer
are there complications from botulism,botulism can result in death due to respiratory failure however in the past 50 years the proportion of patients with botulism who die has fallen from about 50 to 35 a patient with severe botulism may require a breathing machine as well as intensive medical and nursing care for several months and some patients die from infections or other problems related to remaining paralyzed for weeks or months patients who survive an episode of botulism poisoning may have fatigue and shortness of breath for years and longterm therapy may be needed to aid recovery
do you have information about acupuncture,summary acupuncture has been practiced in china and other asian countries for thousands of years acupuncture involves stimulating specific points on the body this is most often done by inserting thin needles through the skin to cause a change in the physical functions of the body research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy it can also relieve pain researchers dont fully understand how acupuncture works it might aid the activity of your bodys painkilling chemicals it also might affect how you release chemicals that regulate blood pressure and flow nih national center for complementary and integrative health
do you have information about adoption,summary adoption brings a child born to other parents into a new family birth parents have a number of reasons for placing children for adoption overall they want better lives for their children than they think they can give them children who are eligible for adoption come from many different settings some are in foster care a temporary home setting other children live in orphanages or with birth relatives until they can be adopted there are different kinds of adoption children may be adopted by a relative or a new family some parents adopt children from the us and some adopt from abroad
do you have information about african american health,summary every racial or ethnic group has specific health concerns differences in the health of groups can result from genetics environmental factors access to care cultural factors on this page youll find links to health issues that affect african americans
do you have information about air pollution,summary air pollution is a mixture of solid particles and gases in the air car emissions chemicals from factories dust pollen and mold spores may be suspended as particles ozone a gas is a major part of air pollution in cities when ozone forms air pollution its also called smog some air pollutants are poisonous inhaling them can increase the chance youll have health problems people with heart or lung disease older adults and children are at greater risk from air pollution air pollution isnt just outside the air inside buildings can also be polluted and affect your health environmental protection agency
do you have information about anabolic steroids,summary anabolic steroids are manmade substances related to male sex hormones doctors use anabolic steroids to treat some hormone problems in men delayed puberty and muscle loss from some diseases bodybuilders and athletes often use anabolic steroids to build muscles and improve athletic performance using them this way is not legal or safe abuse of anabolic steroids has been linked with many health problems they include acne breast growth and shrinking of testicles in men voice deepening and growth of facial hair in women high blood pressure heart problems including heart attack liver disease including cancer kidney damage aggressive behavior nih national institute on drug abuse
do you have information about anatomy,summary anatomy is the science that studies the structure of the body on this page youll find links to descriptions and pictures of the human bodys parts and organ systems from head to toe
do you have information about antidepressants,summary antidepressants are medicines that treat depression your doctor can prescribe them for you they work to balance some of the natural chemicals in our brains it may take several weeks for them to help there are several types of antidepressants you and your doctor may have to try a few before finding what works best for you antidepressants may cause mild side effects that usually do not last long these may include headache nausea sleep problems restlessness and sexual problems tell your doctor if you have any side effects you should also let your doctor know if you take any other medicines vitamins or herbal supplements it is important to keep taking your medicines even if you feel better do not stop taking your medicines without talking to your doctor you often need to stop antidepressants gradually nih national institute of mental health
do you have information about arsenic,summary arsenic is a natural element found in soil and minerals arsenic compounds are used to preserve wood as pesticides and in some industries arsenic can get into air water and the ground from windblown dust it may also get into water from runoff you may be exposed to arsenic by taking in small amounts in food drinking water or air breathing sawdust or burning smoke from arsenictreated wood living in an area with high levels of arsenic in rock working in a job where arsenic is made or used exposure to arsenic can cause many health problems being exposed to low levels for a long time can change the color of your skin it can cause corns and small warts exposure to high levels of arsenic can cause death agency for toxic substances disease registry
do you have information about artificial limbs,summary people can lose all or part of an arm or leg for a number of reasons common ones include circulation problems from atherosclerosis or diabetes they may cause you to need an amputation traumatic injuries including from traffic accidents and military combat cancer birth defects if you are missing an arm or leg an artificial limb can sometimes replace it the device which is called a prosthesis can help you to perform daily activities such as walking eating or dressing some artificial limbs let you function nearly as well as before
do you have information about asian american health,summary every racial or ethnic group has specific health concerns differences in the health of groups can result from genetics environmental factors access to care cultural factors on this page youll find links to health issues that affect asian americans
do you have information about assisted living,summary assisted living is for adults who need help with everyday tasks they may need help with dressing bathing eating or using the bathroom but they dont need fulltime nursing care some assisted living facilities are part of retirement communities others are near nursing homes so a person can move easily if needs change assisted living costs less than nursing home care it is still fairly expensive older people or their families usually pay for it health and longterm care insurance policies may cover some of the costs medicare does not cover the costs of assisted living administration on aging
do you have information about assistive devices,summary if you have a disability or injury you may use a number of assistive devices these are tools products or types of equipment that help you perform tasks and activities they may help you move around see communicate eat or get dressed some are hightech tools such as computers others are much simpler like a reacher a tool that helps you grab an object you cant reach
do you have information about b vitamins,summary the b vitamins are b1 thiamine b2 riboflavin b3 niacin b5 pantothenic acid b6 b7 biotin b12 folic acid these vitamins help the process your body uses to get or make energy from the food you eat they also help form red blood cells you can get b vitamins from proteins such as fish poultry meat eggs and dairy products leafy green vegetables beans and peas also have b vitamins many cereals and some breads have added b vitamins not getting enough of certain b vitamins can cause diseases a lack of b12 or b6 can cause anemia
do you have information about baby health checkup,summary there are many new responsibilities when you have a baby one of them is to make sure they get the checkups that they need wellbaby exams are important in making sure that your baby is growing and developing properly if there are problems you can catch them early this means that there is a better chance for treatment during these checkups your baby will get any needed immunizations and screenings this is also a good chance to ask your health care provider any questions about how to care for your baby
do you have information about biodefense and bioterrorism,summary a bioterrorism attack is the deliberate release of viruses bacteria or other germs to cause illness or death these germs are often found in nature but they can sometimes be made more harmful by increasing their ability to cause disease spread or resist medical treatment biological agents spread through the air water or in food some can also spread from person to person they can be very hard to detect they dont cause illness for several hours or days scientists worry that anthrax botulism ebola and other hemorrhagic fever viruses plague or smallpox could be used as biological agents biodefense uses medical measures to protect people against bioterrorism this includes medicines and vaccinations it also includes medical research and preparations to defend against bioterrorist attacks centers for disease control and prevention
do you have information about biopsy,summary a biopsy is a procedure that removes cells or tissue from your body a doctor called a pathologist looks at the cells or tissue under a microscope to check for damage or disease the pathologist may also do other tests on it biopsies can be done on all parts of the body in most cases a biopsy is the only test that can tell for sure if a suspicious area is cancer but biopsies are performed for many other reasons too there are different types of biopsies a needle biopsy removes tissue with a needle passed through your skin to the site of the problem other kinds of biopsies may require surgery
do you have information about body weight,summary do you know if your current weight is healthy underweight normal overweight and obese are all labels for ranges of weight obese and overweight mean that your weight is greater than it should be for your health underweight means that it is lower than it should be for your health your healthy body weight depends on your sex and height for children it also depends on your age a sudden unexpected change in weight can be a sign of a medical problem causes for sudden weight loss can include thyroid problems cancer infectious diseases digestive diseases certain medicines sudden weight gain can be due to medicines thyroid problems heart failure and kidney disease good nutrition and exercise can help in losing weight eating extra calories within a wellbalanced diet and treating any underlying medical problems can help to add weight
do you have information about bone grafts,summary a bone graft transplants bone tissue surgeons use bone grafts to repair and rebuild diseased bones in your hips knees spine and sometimes other bones and joints grafts can also repair bone loss caused by some types of fractures or cancers once your body accepts the bone graft it provides a framework for growth of new living bone if the transplanted bone comes from another person it is called an allograft most allograft bone comes from donors who have died tissue banks screen these donors and disinfect and test the donated bone to make sure it is safe to use if the transplanted bone comes from another part of your own body it is called an autograft autograft bone often comes from your ribs hips or a leg
do you have information about botox,summary botox is a drug made from a toxin produced by the bacterium clostridium botulinum its the same toxin that causes a lifethreatening type of food poisoning called botulism doctors use it in small doses to treat health problems including temporary smoothing of facial wrinkles and improving your appearance severe underarm sweating cervical dystonia a neurological disorder that causes severe neck and shoulder muscle contractions blepharospasm uncontrollable blinking strabismus misaligned eyes chronic migraine overactive bladder botox injections work by weakening or paralyzing certain muscles or by blocking certain nerves the effects last about three to twelve months depending on what you are treating the most common side effects are pain swelling or bruising at the injection site you could also have flulike symptoms headache and upset stomach injections in the face may also cause temporary drooping eyelids you should not use botox if you are pregnant or breastfeeding
